r10,iso3c,country.name,pop_20202050,pop_19902019,pop_19902050,pop_18502050,pop_18501989,gtco2_18501989,co2_19902019_gt,gdp2017ppp_19902019_pc,gdp2017mer_19902019_pc
PAS,KHM,Cambodia,525444532.35547686,390099902,915544434.3554769,1449319720.3554776,533775286,0.011418824999999997,0.136609684,2360.464408858817,709.5516298337527
PAS,LAO,Lao People's Democratic Republic,248199406.40793324,171918435,420117841.40793324,633746345.4079326,213628504,0.007536848000000001,0.125940365,3990.2568868677827,1052.7384657060175
PAS,MMR,Myanmar,1571653509.6488404,1447487301,3019140810.64884,5055227572.64884,2036086762,0.19472943199999995,0.374251749,2555.4335898950144,525.7978475204271
PAS,MYS,Malaysia,1197335919.814079,758244787,1955580706.8140788,2640167732.8140798,684587026,0.76948123,4.8806970419999995,17900.947789503232,7074.55901072681
PAS,PHL,Philippines,4067999061.6521997,2555940548,6623939609.6522,9006048645.6522,2382109036,0.86161255,2.3927768460000003,5695.9698916478865,1906.204575309131
PAS,SGP,Singapore,192458823.3090391,133532267,325991090.3090391,439842279.3090391,113851189,0.631179498,1.3953133200000003,56358.50201706304,39100.794428569825
PAS,THA,Thailand,2303438227.223741,1929139441,4232577668.223741,6639529684.223741,2406952016,0.852391861,6.110418416999999,11445.442880896446,3901.027904805378
PAS,VNM,Vietnam,3178051111.38524,2496315685,5674366796.385241,8836550906.385242,3162184110,0.7180656169999999,3.2457158909999997,3898.099183241922,1265.36217480714
SAS,BGD,Bangladesh,5718931179.219437,4069019520,9787950699.219437,15276020818.21944,5488070119,0.19581207300000003,1.2796537270000001,2442.488543898654,792.3897333356639
SAS,BTN,Bhutan,32746629.399046246,19070092,51816721.39904624,92781285.39904624,40964564,0.001080838,0.017159968,6809.619638858946,1642.5021308640708
SAS,IND,India,48954623652.176796,33951533133,82906156785.17674,136612356052.17677,53706199267,10.427429139000001,41.387852927000004,3643.206343302777,991.101422769143
SAS,LKA,Sri Lanka,729898270.9979566,583734222,1313632492.9979563,2251611546.9979563,937979054,0.117993819,0.35790626700000006,7547.798185391467,2031.1371055420595
SAS,MDV,Maldives,13319523.891059835,10120017,23439540.891059835,35153994.891059816,11714454,7.950880000000001e-4,0.022431008000000002,14615.081746643496,5651.97098910441
SAS,NPL,Nepal,1331329641.2473788,741339105,2072668746.2473788,3126878508.247379,1054209762,0.012249378,0.13558945,1990.2070464054032,506.9105352330173
SAS,PAK,Pakistan,7865754548.538836,4788746534,12654501082.538834,17379285115.538837,4724784033,0.9219247570000002,3.9089334279999997,3738.9325743440986,925.124665132777
